"","roi","ROI","OLS_Coefficient","OLS_P_Value","OLS_N","IV_Coefficient","IV_StdError","IV_P_Value","Num_snps","IV_N"
"72","roi104","L_RI_ROI",0.0146400948881964,0.74647378362968,5628,0.020724890657383,0.158535769635307,0.89599602767153,235,5628
"73","roi106","L_PoI2_ROI",0.0208203381589639,0.649634985012378,5628,-0.795476964729855,0.456672903903479,0.0815812724485298,3,5628
"74","roi107","L_TA2_ROI",0.0330127827643377,0.448014425100682,5628,0.170267834757509,0.0990965870137107,0.0858150956054425,664,5628
"75","roi108","L_FOP4_ROI",0.122301051603928,0.00422028872847666,5628,1.49987737310948,0.699082034674934,0.031955982407476,1,5628
"76","roi110","L_Pir_ROI",0.0412351206546916,0.243729346681738,5628,0.568174244958114,0.529470283301408,0.283272609557241,1,5628
"77","roi116","L_PFt_ROI",-0.0708856042775858,0.129333861036654,5628,-1.51527397379025,0.505743140107338,0.0027462084553108,3,5628
"78","roi117","L_AIP_ROI",-0.0695197147219811,0.133429293367455,5628,-0.0689491880110858,0.0654520861057155,0.292189286068906,2277,5628
"79","roi118","L_EC_ROI",0.0267524762359969,0.602315622502243,5628,1.1589212273685,0.859337437451312,0.177512826193247,1,5628
"80","roi119","L_PreS_ROI",-0.0554835741307678,0.197444899548904,5628,-0.215029763820975,0.351318194387105,0.540519158875235,4,5628
"81","roi120","L_H_ROI",-0.0520299592041017,0.331158951248817,5628,0.870501608867029,0.737045860479233,0.237625530461955,1,5628
"82","roi121","L_ProS_ROI",-0.00603882249882826,0.838185989345884,5628,-0.0349504647507403,0.0361322603997153,0.333439466408695,3447,5628
"83","roi123","L_STGa_ROI",-0.010324464557444,0.829491953642396,5628,0.625833861831921,0.215538361234207,0.00370354399565088,82,5628
"84","roi124","L_PBelt_ROI",0.0608562761951236,0.164069644894732,5628,0.0797295920525822,0.0536654874782241,0.137420630136905,3504,5628
"85","roi125","L_A5_ROI",0.0194330903655273,0.604982999782048,5628,0.0848536450738992,0.04656847772014,0.0684889739088612,3306,5628
"86","roi126","L_PHA1_ROI",-0.0176708424140928,0.705865439019058,5628,-0.0122142871820781,0.075542972761359,0.871558463637329,1661,5628
"87","roi127","L_PHA3_ROI",0.028203823683691,0.464693242819887,5628,-0.0537728055861344,0.084702402680083,0.525556066057083,718,5628
"88","roi128","L_STSda_ROI",-0.056710431510165,0.150475105998088,5628,-0.0482390887898477,0.0539188750937998,0.371006916606165,2504,5628
"89","roi129","L_STSdp_ROI",0.0479528985114136,0.29303665832574,5628,0.090473661162447,0.0564476003871754,0.109037196253718,3352,5628
"90","roi130","L_STSvp_ROI",0.0497799216147271,0.329797016760341,5628,0.0788517050153453,0.0646138478156293,0.222382295142155,3092,5628
"91","roi131","L_TGd_ROI",-0.0466172882145272,0.281202536604489,5628,-0.739559793720586,0.431767759825786,0.0867925935164868,3,5628
"92","roi132","L_TE1a_ROI",-0.0839894032809985,0.0612208138954064,5628,0.157154903470655,0.110336285221995,0.154407499149787,492,5628
"93","roi133","L_TE1p_ROI",0.07202511205255,0.139198479766883,5628,0.986523366487398,0.280563915767901,0.000441200973550972,42,5628
"94","roi134","L_TE2a_ROI",0.0330773374088705,0.410330722814685,5628,0.0478174006207223,0.0512785492982679,0.351116713957274,3002,5628
"95","roi135","L_TF_ROI",-0.0729146981615206,0.0657651242138547,5628,0.888613331052134,0.43483100155548,0.0410412870740619,3,5628
"96","roi136","L_TE2p_ROI",0.000166670732917891,0.996932226794897,5628,-0.657672372469514,0.247342223628105,0.00786052185331598,19,5628
"97","roi137","L_PHT_ROI",-0.00430647076247813,0.928708071990321,5628,-1.02618945481368,0.307210477600614,0.000842195372973746,35,5628
"98","roi138","L_PH_ROI",0.0462163222579918,0.316430104333985,5628,-1.06407872517964,0.407201688954483,0.0089951259997317,5,5628
"99","roi139","L_TPOJ1_ROI",0.0236287075572731,0.59662070522824,5628,2.24750391012498,0.743350871249117,0.00251016643814654,2,5628
"100","roi140","L_TPOJ2_ROI",0.118488340860677,0.00923319711719943,5628,-1.02486813233134,0.571494761060806,0.0729768955910203,3,5628
"101","roi141","L_TPOJ3_ROI",0.0703061975805485,0.0922196480623971,5628,-0.247111185238109,0.133750701310427,0.0647199222071501,267,5628
"102","roi142","L_DVT_ROI",0.0372887231499843,0.284394077085839,5628,0.0541221995009863,0.0509577993790289,0.288236649064683,2066,5628
"103","roi143","L_PGp_ROI",0.0516957592790933,0.223229269471606,5628,0.0124410988291192,0.0786268956636488,0.874281601349056,1113,5628
"104","roi144","L_IP2_ROI",0.0189800378968916,0.6714052405557,5628,0.0373354552720176,0.0650262920489547,0.565882943182446,2168,5628
"105","roi146","L_IP0_ROI",0.0714245521586284,0.105199353371007,5628,0.0532507093523669,0.0972698676963666,0.584089097727437,703,5628
"106","roi148","L_PF_ROI",0.0145682899400697,0.754046217992935,5628,-0.662607582092074,0.311782374583455,0.0336113921222479,12,5628
"107","roi152","L_V6A_ROI",0.0119997557254875,0.750801201039725,5628,-0.123694703711033,0.0593673130060696,0.0372463070597711,1722,5628
"108","roi153","L_VMV1_ROI",-0.0090644619812738,0.860675019535538,5628,-0.0171426978574482,0.0766568133647711,0.823054012340864,2033,5628
"109","roi154","L_VMV3_ROI",0.1074103249173,0.0146444997235536,5628,-0.0635276747781714,0.375306962493319,0.865591486822076,3,5628
"110","roi155","L_PHA2_ROI",0.000488849939429174,0.990233491938647,5628,0.00714216351166373,0.081831598496272,0.930453017430475,914,5628
"111","roi157","L_FST_ROI",0.0107946636515684,0.821478693180801,5628,0.477086268196357,0.649232483410263,0.462463608936314,1,5628
"112","roi159","L_LO3_ROI",0.0215804447792758,0.613381142816318,5628,-0.0347954782377506,0.582966552314365,0.952407112069127,1,5628
"113","roi160","L_VMV2_ROI",0.0845904577689065,0.0388119532262163,5628,-0.0889119200508616,0.12227309773317,0.467159176253104,323,5628
"114","roi162","L_31a_ROI",0.0767205978960191,0.112813601090709,5628,-0.751549432983225,0.241015730423143,0.00182842815257873,55,5628
"115","roi163","L_VVC_ROI",0.0516124880524524,0.219286313164726,5628,-0.514206202775686,0.234096639784738,0.0280929354544707,42,5628
"116","roi164","L_25_ROI",-0.0215038272106473,0.554944389184868,5628,-1.25447164060884,0.427941622790632,0.00338789766309185,3,5628
"117","roi165","L_s32_ROI",-0.00376284890137824,0.92712598541841,5628,-0.930437524437497,0.267648752441773,0.000512157333004158,35,5628
"118","roi166","L_pOFC_ROI",0.0247832437314745,0.471534161029534,5628,-0.272600003065773,0.155945140266798,0.0805098822980797,108,5628
"119","roi167","L_PoI1_ROI",0.0295597260194995,0.532238421519942,5628,-0.828124796618929,0.538928418007691,0.124444246947942,2,5628
"120","roi168","L_Ig_ROI",-0.0384116495192784,0.380679436219713,5628,-0.946076333656382,0.264895814764737,0.000357909130882509,12,5628
"121","roi169","L_FOP5_ROI",0.0116161079613544,0.743618947731385,5628,0.753803131619823,0.192697544830085,9.26742624343393e-05,71,5628
"122","roi170","L_p10p_ROI",0.014692087286461,0.613476225562474,5628,0.0135466559735816,0.0338855209484265,0.689335882395035,3825,5628
