"roi","ROI","coeff_distance","p_value_distance"
239,"R_a24pr_ROI",0.0260818288460789,0.102989701029897
240,"R_p32pr_ROI",0.036187094544347,0.0078992100789921
241,"R_a24_ROI",0.0189520788617902,0.4996500349965
242,"R_d32_ROI",0.0195479394161442,0.424957504249575
243,"R_8BM_ROI",0.0230218593183068,0.211678832116788
244,"R_p32_ROI",0.0150810196441443,0.864313568643136
245,"R_10r_ROI",0.0199441121483219,0.409359064093591
246,"R_47m_ROI",0.0283342436317426,0.0615938406159384
247,"R_8Av_ROI",0.021279962021379,0.314668533146685
248,"R_8Ad_ROI",0.0212292240458933,0.311768823117688
249,"R_9m_ROI",0.0184657501280235,0.531046895310469
250,"R_8BL_ROI",0.0196844738934105,0.431656834316568
251,"R_9p_ROI",0.0309479481576331,0.0318968103189681
252,"R_10d_ROI",0.018524033893015,0.463953604639536
253,"R_8C_ROI",0.0205588111372208,0.358764123587641
254,"R_44_ROI",0.0215737852562445,0.288571142885711
255,"R_45_ROI",0.0205784995618702,0.353864613538646
256,"R_47l_ROI",0.0296808101462461,0.0446955304469553
257,"R_a47r_ROI",0.0177991298577367,0.621937806219378
258,"R_6r_ROI",0.0208914666739864,0.344865513448655
259,"R_IFJa_ROI",0.0229708732052594,0.214978502149785
260,"R_IFJp_ROI",0.0313164483569623,0.0288971102889711
261,"R_IFSp_ROI",0.0311499519373292,0.0298970102989701
262,"R_IFSa_ROI",0.0224509298210858,0.248375162483752
263,"R_p9.46v_ROI",0.0159917539926955,0.806219378062194
264,"R_46_ROI",0.0181630080753594,0.59034096590341
265,"R_a9.46v_ROI",0.0217004575971303,0.286271372862714
266,"R_9.46d_ROI",0.0209389055303524,0.332966703329667
267,"R_9a_ROI",0.0220778520990899,0.24027597240276
268,"R_10v_ROI",0.0272458759392668,0.0802919708029197
269,"R_a10p_ROI",0.0181795292747224,0.551444855514449
270,"R_10pp_ROI",0.0328364869327918,0.0203979602039796
271,"R_11l_ROI",0.0177795720086123,0.606039396060394
272,"R_13l_ROI",0.0442060841977191,0.000999900009999
273,"R_OFC_ROI",0.022769755002885,0.234776522347765
274,"R_47s_ROI",0.0143717453402908,0.927207279272073
275,"R_LIPd_ROI",0.0261614498364419,0.102489751024898
276,"R_6a_ROI",0.0232964214990456,0.201479852014799
277,"R_i6.8_ROI",0.0268360816652161,0.0903909609039096
278,"R_s6.8_ROI",0.0300937111873926,0.0384961503849615
279,"R_43_ROI",0.0225919920644731,0.242175782421758
280,"R_OP4_ROI",0.0250158090412257,0.130986901309869
281,"R_OP1_ROI",0.0241978389961902,0.163083691630837
282,"R_OP2.3_ROI",0.0182286064348824,0.559044095590441
283,"R_52_ROI",0.0132788032512362,0.97010298970103
284,"R_RI_ROI",0.0154533043672127,0.852414758524148
285,"R_PFcm_ROI",0.0206192076736994,0.355264473552645
286,"R_PoI2_ROI",0.0201875493632474,0.386161383861614
287,"R_TA2_ROI",0.0277518779823124,0.0692930706929307
288,"R_FOP4_ROI",0.0275674538610239,0.0703929607039296
289,"R_MI_ROI",0.0161807317634995,0.766523347665233
290,"R_Pir_ROI",0.0176066936383655,0.617938206179382
291,"R_AVI_ROI",0.0323024150197011,0.023997600239976
292,"R_AAIC_ROI",0.0161803332921126,0.786321367863214
293,"R_FOP1_ROI",0.0198581402986309,0.416858314168583
294,"R_FOP3_ROI",0.0189310886381782,0.492950704929507
295,"R_FOP2_ROI",0.018169245079017,0.561443855614439
296,"R_PFt_ROI",0.0172100382055178,0.683531646835316
297,"R_AIP_ROI",0.0155826991062747,0.849015098490151
