"","roi","ROI","Name","Network","Method","IVs","Coefficient","SE","Statistics","Pvalue","Pvalue_bh","Pvalue_bh_sci","Lower_CI","Upper_CI","Forest_Plot"
"65",NA,NA,NA,NA,"2SRI (Binary)",44,0.0139082281038431,0.0310511067410465,"0.448",0.654215201881052,0.93290275354275,"9.33e-01",-0.046951941108608,0.0747683973162942," 0.01 (-0.05,  0.07)"
"66","roi296","R_PFt","Right Area PFt","DAN","MR",25,-1.34077532876844,0.330869339356957,"-4.052",5.14053580534628e-05,0.00275807595735135,"2.76e-03",-1.98927923390808,-0.692271423628804,"-1.34 (-1.99, -0.69)"
"67",NA,NA,NA,NA,"2SLS (1)",58,-1.26386477149753,0.284206393229985,"-4.447",8.85580906027751e-06,0.00036882865215956,"3.69e-04",-1.8209093022283,-0.706820240766759,"-1.26 (-1.82, -0.71)"
"68",NA,NA,NA,NA,"2SLS (2)",25,-1.34230886326837,0.329608091255026,"-4.072",4.71632456888019e-05,0.0022230726840052,"2.22e-03",-1.98834072212822,-0.696277004408519,"-1.34 (-1.99, -0.70)"
"69",NA,NA,NA,NA,"2SLS (3)",123,-0.735960373476191,0.22320382304788,"-3.297",0.00098240808511071,0.0130519931307566,"1.31e-02",-1.17343986665004,-0.298480880302346,"-0.74 (-1.17, -0.30)"
"70",NA,NA,NA,NA,"2SRI (Binary)",25,0.0762590716717572,0.0314326526047596,"2.426",0.0152616452250446,0.353955902190592,"3.54e-01",0.0146510725664284,0.137867070777086," 0.08 ( 0.01,  0.14)"
"71","roi316","R_TE2p","Right Area TE2 posterior","DAN","MR",28,-1.02482443673072,0.255570210730066,"-4.010",6.15184228405505e-05,0.00275807595735135,"2.76e-03",-1.52574204976165,-0.523906823699791,"-1.02 (-1.53, -0.52)"
"72",NA,NA,NA,NA,"2SLS (1)",100,-0.41514812330896,0.160089844551267,"-2.593",0.00952995079087406,0.0420255207007397,"4.20e-02",-0.728924218629443,-0.101372027988477,"-0.42 (-0.73, -0.10)"
"73",NA,NA,NA,NA,"2SLS (2)",31,-0.998478855668951,0.245992488432725,"-4.059",4.99566895282068e-05,0.0022230726840052,"2.22e-03",-1.48062413299709,-0.51633357834081,"-1.00 (-1.48, -0.52)"
"74",NA,NA,NA,NA,"2SLS (3)",392,0.00373639869789417,0.109892994105161,"0.034",0.97287809083141,0.986312301827009,"9.86e-01",-0.211653869748221,0.21912666714401," 0.00 (-0.21,  0.22)"
"75",NA,NA,NA,NA,"2SRI (Binary)",28,-0.00881468582858774,0.027133286690458,"-0.325",0.745282392377897,0.93682693247502,"9.37e-01",-0.0619959277418854,0.0443665560847099,"-0.01 (-0.06,  0.04)"
"76","roi32","L_23d","Left Area 23d","DMN","MR",49,-0.725864878383517,0.210631202669479,"-3.446",0.000572817739897857,0.00810989326486966,"8.11e-03",-1.1387020356157,-0.313027721151338,"-0.73 (-1.14, -0.31)"
"77",NA,NA,NA,NA,"2SLS (1)",113,-0.454935003529501,0.168012844045765,"-2.708",0.00679240105651867,0.0320594928849621,"3.21e-02",-0.7842401778592,-0.125629829199802,"-0.45 (-0.78, -0.13)"
"78",NA,NA,NA,NA,"2SLS (2)",51,-0.70634349042187,0.208790863064721,"-3.383",0.000721837372102667,0.0096365289175706,"9.64e-03",-1.11557358202872,-0.297113398815017,"-0.71 (-1.12, -0.30)"
"79",NA,NA,NA,NA,"2SLS (3)",45,-0.921110798899374,0.249005653134205,"-3.699",0.000218383944740707,0.00594275674542589,"5.94e-03",-1.40916187904242,-0.433059718756332,"-0.92 (-1.41, -0.43)"
"80",NA,NA,NA,NA,"2SRI (Binary)",49,0.0504759188161898,0.0265753438838895,"1.899",0.0575182780277958,0.503981179186763,"5.04e-01",-0.00161175519623363,0.102563592828613," 0.05 ( 0.00,  0.10)"
"81","roi68","L_8Ad","Left Area 8Ad","DMN","MR",8,-1.15201117705686,0.30928200760662,"-3.725",0.000197392892460364,0.00442489067265316,"4.42e-03",-1.75820391196584,-0.545818442147885,"-1.15 (-1.76, -0.55)"
"82",NA,NA,NA,NA,"2SLS (1)",6,-1.21767466836988,0.324664227104398,"-3.751",0.000178001042476857,0.00171008144379552,"1.71e-03",-1.8540165534945,-0.58133278324526,"-1.22 (-1.85, -0.58)"
"83",NA,NA,NA,NA,"2SLS (2)",9,-1.07932147002515,0.301473281002814,"-3.580",0.000346289607778758,0.00672132106780584,"6.72e-03",-1.67020910079067,-0.488433839259635,"-1.08 (-1.67, -0.49)"
"84",NA,NA,NA,NA,"2SLS (3)",4,-1.15608901927175,0.367296866911208,"-3.148",0.001655007962916,0.0162238337491926,"1.62e-02",-1.87599087841772,-0.436187160125782,"-1.16 (-1.88, -0.44)"
"85",NA,NA,NA,NA,"2SRI (Binary)",8,-0.0105856470865793,0.0254970527966728,"-0.415",0.678016434431678,0.93290275354275,"9.33e-01",-0.060559870568058,0.0393885763948994,"-0.01 (-0.06,  0.04)"
"86","roi162","L_31a","Left Area 31a","DMN","MR",55,-0.751549432982969,0.24101573042313,"-3.118",0.00182842815258423,0.0204936322102149,"2.05e-02",-1.2239402646123,-0.279158601353634,"-0.75 (-1.22, -0.28)"
"87",NA,NA,NA,NA,"2SLS (1)",58,-0.967243204272733,0.226298014773625,"-4.274",1.94621412886374e-05,0.000496435597637108,"4.96e-04",-1.41078731322904,-0.523699095316428,"-0.97 (-1.41, -0.52)"
"88",NA,NA,NA,NA,"2SLS (2)",57,-0.685725518667734,0.234293348608156,"-2.927",0.00343862351365393,0.0284505544893854,"2.85e-02",-1.14494048193972,-0.226510555395748,"-0.69 (-1.14, -0.23)"
"89",NA,NA,NA,NA,"2SLS (3)",364,-0.202454454828722,0.137667505312337,"-1.471",0.141454105563322,0.352372280822918,"3.52e-01",-0.472282765240903,0.0673738555834585,"-0.20 (-0.47,  0.07)"
"90",NA,NA,NA,NA,"2SRI (Binary)",55,0.0858478242022251,0.0333195017002032,"2.577",0.00998050958290626,0.353955902190592,"3.54e-01",0.0205416008698268,0.151154047534623," 0.09 ( 0.02,  0.15)"
"91","roi164","L_25","Left Area 25","DMN","MR",3,-1.25447164060797,0.427941622790554,"-2.931",0.00338789766310823,0.0274109095945539,"2.74e-02",-2.09323722127746,-0.415706059938484,"-1.25 (-2.09, -0.42)"
"92",NA,NA,NA,NA,"2SLS (1)",58,-0.5563117953912,0.190455828176481,"-2.921",0.00350191777071847,0.0200428910707078,"2.00e-02",-0.929605218617103,-0.183018372165297,"-0.56 (-0.93, -0.18)"
"93",NA,NA,NA,NA,"2SLS (2)",3,-1.28921397602907,0.446509587679648,"-2.887",0.0039002757978049,0.0289270455003863,"2.89e-02",-2.16437276788118,-0.41405518417696,"-1.29 (-2.16, -0.41)"
"94",NA,NA,NA,NA,"2SLS (3)",319,-0.27403394656124,0.119273987371257,"-2.298",0.0216259112207163,0.0928250650858438,"9.28e-02",-0.507810961808904,-0.0402569313135763,"-0.27 (-0.51, -0.04)"
"95",NA,NA,NA,NA,"2SRI (Binary)",3,-0.009637683877888,0.0250410349754792,"-0.385",0.7003295690857,0.93290275354275,"9.33e-01",-0.0587181124298272,0.0394427446740512,"-0.01 (-0.06,  0.04)"
"96","roi165","L_s32","Left Area s32","DMN","MR",35,-0.930437524437109,0.267648752441766,"-3.476",0.000512157333006738,0.00765390680993403,"7.65e-03",-1.45502907922297,-0.405845969651248,"-0.93 (-1.46, -0.41)"
"97",NA,NA,NA,NA,"2SLS (1)",520,-0.223735291278198,0.100366489671069,"-2.229",0.0258364584385602,0.087974776202186,"8.80e-02",-0.420453611033493,-0.0270169715229028,"-0.22 (-0.42, -0.03)"
"98",NA,NA,NA,NA,"2SLS (2)",34,-0.88739945172184,0.267787041689093,"-3.314",0.000926116178441122,0.0112396827110809,"1.12e-02",-1.41226205343246,-0.362536850011218,"-0.89 (-1.41, -0.36)"
"99",NA,NA,NA,NA,"2SLS (3)",328,-0.0447053066360631,0.131350106968115,"-0.340",0.733603986002615,0.845766578903841,"8.46e-01",-0.302151516293569,0.212740903021442,"-0.04 (-0.30,  0.21)"
"100",NA,NA,NA,NA,"2SRI (Binary)",35,-0.0249261433143042,0.0281721032865887,"-0.885",0.376274728322068,0.926306325244059,"9.26e-01",-0.0801434657560181,0.0302911791274097,"-0.02 (-0.08,  0.03)"
"101","roi215","R_31pv","Right Area 31p ventral","DMN","MR",24,-0.982358496065509,0.252278676894804,"-3.894",9.97722206848495e-05,0.00324102541968358,"3.24e-03",-1.47682470277932,-0.487892289351693,"-0.98 (-1.48, -0.49)"
"102",NA,NA,NA,NA,"2SLS (1)",32,-0.78916814060074,0.225920910383605,"-3.493",0.000480660350590582,0.00359160095302407,"3.59e-03",-1.23197312495261,-0.346363156248874,"-0.79 (-1.23, -0.35)"
"103",NA,NA,NA,NA,"2SLS (2)",32,-0.908263424248216,0.229231138180487,"-3.962",7.51771279780465e-05,0.0025090366462673,"2.51e-03",-1.35755645508197,-0.458970393414462,"-0.91 (-1.36, -0.46)"
"104",NA,NA,NA,NA,"2SLS (3)",133,-0.556913920204285,0.18590052817811,"-2.996",0.00274954205434685,0.0213089509211881,"2.13e-02",-0.921278955433381,-0.192548884975189,"-0.56 (-0.92, -0.19)"
"105",NA,NA,NA,NA,"2SRI (Binary)",24,0.0919615660350334,0.03245275213597,"2.834",0.00460116078421216,0.314480590189758,"3.14e-01",0.0283541718485322,0.155568960221535," 0.09 ( 0.03,  0.16)"
"106","roi247","R_8Av","Right Area 8Av","DMN","MR",10,-0.97564077722251,0.311517876079695,"-3.132",0.00174575338601004,0.0204177243842044,"2.04e-02",-1.58621581433871,-0.365065740106308,"-0.98 (-1.59, -0.37)"
"107",NA,NA,NA,NA,"2SLS (1)",40,-0.835303733914302,0.199883926628089,"-4.179",2.96783855093741e-05,0.000551541163285362,"5.52e-04",-1.22707623010536,-0.443531237723248,"-0.84 (-1.23, -0.44)"
"108",NA,NA,NA,NA,"2SLS (2)",11,-1.09078961957442,0.303206752686832,"-3.598",0.000324040738335849,0.00672132106780584,"6.72e-03",-1.68507485484061,-0.496504384308229,"-1.09 (-1.69, -0.50)"
"109",NA,NA,NA,NA,"2SLS (3)",7,-1.01652033067223,0.328702390089521,"-3.093",0.00199434956960696,0.0168613190884952,"1.69e-02",-1.66077701524769,-0.372263646096769,"-1.02 (-1.66, -0.37)"
"110",NA,NA,NA,NA,"2SRI (Binary)",10,0.0226796145781504,0.0263343224632002,"0.861",0.389117526961259,0.926306325244059,"9.26e-01",-0.028935657449722,0.0742948866060228," 0.02 (-0.03,  0.07)"
