"","exposure","roi","ROI","OLS_Coefficient","OLS_P_Value","OLS_N","IV_Coefficient","IV_StdError","IV_P_Value","Num_snps","IV_N","roi_num"
"52","adhd","roi52","L_2_ROI",0.000617187819227958,0.878783282497896,6380,-0.00130497404108979,0.00838908067311008,0.87638773096897,900,6380,52
"53","adhd","roi53","L_3a_ROI",-0.000313364811151705,0.942298030655281,6380,-0.00239846190583681,0.00897473357617881,0.789288390323686,900,6380,53
"54","adhd","roi54","L_6d_ROI",-0.00228680176378917,0.569575408246685,6380,-0.00661563773136685,0.00833662150092107,0.427479202963288,900,6380,54
"55","adhd","roi55","L_6mp_ROI",0.00316804096830972,0.461609253247446,6380,-0.00226020190121958,0.0089214083035332,0.800009132600883,900,6380,55
"56","adhd","roi56","L_6v_ROI",0.00484474729752767,0.19392195309995,6380,-0.00467713166237639,0.0077344090393247,0.545388329079164,900,6380,56
"57","adhd","roi57","L_p24pr_ROI",0.00930590506409376,0.0218635452295659,6380,0.00337539881276647,0.00841360362751285,0.68829849660689,900,6380,57
"58","adhd","roi58","L_33pr_ROI",0.00359729239762341,0.559166503782577,6380,0.00794623076847321,0.0127675564217475,0.533716416184184,900,6380,58
"59","adhd","roi59","L_a24pr_ROI",0.0110492339461746,0.0104625877737906,6380,-0.000316094840362768,0.00894919537996949,0.971824857262157,900,6380,59
"60","adhd","roi60","L_p32pr_ROI",0.0142978381935844,0.00213343452131322,6380,0.0215117104910457,0.00964950240373189,0.0258281705610685,900,6380,60
"61","adhd","roi61","L_a24_ROI",0.00815606696898039,0.0588349226926389,6380,0.000951315347403929,0.00894908147918776,0.915345197826834,900,6380,61
"62","adhd","roi62","L_d32_ROI",-0.00147280385809104,0.756939750391515,6380,-0.0329656355665632,0.00989831302588155,0.000872051545157441,900,6380,62
"63","adhd","roi63","L_8BM_ROI",0.00286661044904743,0.565388362374572,6380,-0.0200898685417929,0.0103542374447461,0.0523926920448787,900,6380,63
"64","adhd","roi64","L_p32_ROI",-0.00283598017587915,0.572169925847762,6380,-0.0313798741111,0.0104339878183856,0.00264463377731639,900,6380,64
"65","adhd","roi65","L_10r_ROI",0.00197687004862778,0.666341935661095,6380,-0.0180502951724443,0.00951842736603009,0.0579586296247885,900,6380,65
"66","adhd","roi66","L_47m_ROI",0.000168179039654932,0.967355128085372,6380,-0.0106562485041898,0.0085232515716253,0.211251882911555,900,6380,66
"67","adhd","roi67","L_8Av_ROI",0.00305630072344402,0.444969331728866,6380,0.00377660386134425,0.00829439005532882,0.648894369144751,900,6380,67
"68","adhd","roi68","L_8Ad_ROI",0.00462399706206602,0.310401171411661,6380,-0.00560318678896998,0.00945287255348945,0.553369757418168,900,6380,68
"69","adhd","roi69","L_9m_ROI",0.00911717046786346,0.0757257294895383,6380,-0.0205585299429688,0.0106679866832451,0.0540086383702056,900,6380,69
"70","adhd","roi70","L_8BL_ROI",0.00948735928037847,0.0369058566555459,6380,-0.010697403953532,0.0094374318761978,0.257043667534776,900,6380,70
"71","adhd","roi71","L_9p_ROI",0.00995157028298536,0.0489217663177803,6380,-0.00826091512658834,0.0104846825992993,0.430782637827164,900,6380,71
"72","adhd","roi72","L_10d_ROI",-0.00127534584431145,0.851768674588209,6380,-0.051150202117989,0.0142073161792099,0.000320302446755664,900,6380,72
"73","adhd","roi73","L_8C_ROI",0.00035926194988152,0.93204178641898,6380,-0.0021846304342207,0.0087335076828576,0.802484420909881,900,6380,73
"74","adhd","roi74","L_44_ROI",0.00216331328651065,0.6318110597946,6380,-0.00281211407643571,0.0093594863779718,0.763839139351442,900,6380,74
"75","adhd","roi75","L_45_ROI",0.00891848496349536,0.0274311200636399,6380,-0.00102361129789053,0.00838560291522953,0.902849249253514,900,6380,75
"76","adhd","roi76","L_47l_ROI",0.000926936121908765,0.799786431524304,6380,-0.0158436968743693,0.00758872897097874,0.0368561223303992,900,6380,76
"77","adhd","roi77","L_a47r_ROI",-0.00383987706910001,0.427779196997622,6380,-0.030933811184181,0.0100621935237908,0.00211917622454478,900,6380,77
"78","adhd","roi78","L_6r_ROI",0.00214858793941831,0.554239029648658,6380,-0.00466224082544859,0.00753293334210354,0.535994891777122,900,6380,78
"79","adhd","roi79","L_IFJa_ROI",-0.0044231025184841,0.342941359203406,6380,-0.00520794873346031,0.00966781263341623,0.590119973811348,900,6380,79
"80","adhd","roi80","L_IFJp_ROI",-0.00467045024891041,0.300859209394526,6380,0.00549477787463599,0.00936132079042758,0.55724728203927,900,6380,80
"81","adhd","roi81","L_IFSp_ROI",0.00366989767381691,0.416002246018034,6380,-0.00501653025547987,0.00935557717134226,0.591833902816606,900,6380,81
"82","adhd","roi82","L_IFSa_ROI",0.000723682479257724,0.880214313091201,6380,-0.00436528149429282,0.00995572678158741,0.661060920842231,900,6380,82
"83","adhd","roi83","L_p9-46v_ROI",0.00441927223384544,0.323323442008261,6380,-0.00310873160750704,0.00927726889814733,0.737567289023871,900,6380,83
"84","adhd","roi84","L_46_ROI",0.00839662952495717,0.100148137326021,6380,0.00167962698991418,0.0105870110603873,0.873949834835894,900,6380,84
"85","adhd","roi85","L_a9-46v_ROI",-0.00538942341477195,0.294816715403816,6380,-0.0313985079572121,0.0106852680983253,0.0033100315063684,900,6380,85
"86","adhd","roi86","L_9-46d_ROI",-0.00283101939914324,0.602270549544697,6380,-0.0200028683439106,0.0112698707111577,0.0759625137230234,900,6380,86
"87","adhd","roi87","L_9a_ROI",0.00266384420484893,0.637322088220021,6380,-0.0221543490615001,0.0117306682150175,0.0589930227961583,900,6380,87
"88","adhd","roi88","L_10v_ROI",-0.00783548712624891,0.0858288498340999,6380,-0.0219451159161793,0.00946142255915632,0.0204031486127576,900,6380,88
